systems that have thermodynamic description,,,First,Second
AG-AL,AG,AL,Ag,Al
AG-CA,AG,CA,Ag,Ca
AG-CU,AG,CU,Ag,Cu
AG-ER,AG,ER,Ag,Er
AG-FE,AG,FE,Ag,Fe
AG-LA,AG,LA,Ag,La
AG-LI,AG,LI,Ag,Li
AG-MG,AG,MG,Ag,Mg
AG-MN,AG,MN,Ag,Mn
AG-NA,AG,NA,Ag,Na
AG-NI,AG,NI,Ag,Ni
AG-SI,AG,SI,Ag,Si
AG-SC,AG,SC,Ag,Sc
AG-ZN,AG,ZN,Ag,Zn
AL-B,AL,B,Al,B
AL-BE,AL,BE,Al,Be
AL-BI,AL,BI,Al,Bi
AL-CD,AL,CD,Al,Cd
AL-C,AL,C,Al,C
AL-CA,AL,CA,Al,Ca
AL-CE,AL,CE,Al,Ce
AL-CO,AL,CO,Al,Co
AL-CR,AL,CR,Al,Cr
AL-CU,AL,CU,Al,Cu
AL-ER,AL,ER,Al,Er
AL-FE,AL,FE,Al,Fe
AL-GA,AL,GA,Al,Ga
AL-GE,AL,GE,Al,Ge
AL-H,AL,H,Al,H
AL-HF,AL,HF,Al,Hf
AL-IN,AL,IN,Al,In
AL-K,AL,K,Al,K
AL-LA,AL,LA,Al,La
AL-LI,AL,LI,Al,Li
AL-MG,AL,MG,Al,Mg
AL-MN,AL,MN,Al,Mn
AL-MO,AL,MO,Al,Mo
AL-NA,AL,NA,Al,Na
AL-NB,AL,NB,Al,Nb
AL-ND,AL,ND,Al,Nd
AL-NI,AL,NI,Al,Ni
AL-SC,AL,SC,Al,Sc
AL-P,AL,P,Al,P
AL-PB,AL,PB,Al,Pb
AL-PR,AL,PR,Al,Pr
AL-S,AL,S,Al,S
AL-SE,AL,SE,Al,Se
AL-SI,AL,SI,Al,Si
AL-SN,AL,SN,Al,Sn
AL-SR,AL,SR,Al,Sr
AL-TE,AL,TE,Al,Te
AL-TI,AL,TI,Al,Ti
AL-V,AL,V,Al,V
AL-Y,AL,Y,Al,Y
AL-ZN,AL,ZN,Al,Zn
AL-ZR,AL,ZR,Al,Zr
B-C,B,C,B,C
B-CR,B,CR,B,Cr
B-CU,B,CU,B,Cu
B-FE,B,FE,B,Fe
B-GE,B,GE,B,Ge
B-MG,B,MG,B,Mg
B-MN,B,MN,B,Mn
B-NI,B,NI,B,Ni
B-SI,B,SI,B,Si
B-SN,B,SN,B,Sn
B-SR,B,SR,B,Sr
B-TI,B,TI,B,Ti
B-V,B,V,B,V
