,First,Second,Third
Al-Ca-Fe,Al,Ca,Fe
Al-C-Mn,Al,C,Mn
Al-Cr-Fe,Al,Cr,Fe
Al-Cr-Zn,Al,Cr,Zn
Al-Fe-H,Al,Fe,H
Al-Fe-Ni,Al,Fe,Ni
Al-Fe-Si,Al,Fe,Si
Al-H-Ti,Al,H,Ti
Al-Mn-Ni,Al,Mn,Ni
Al-Ni-O,Al,Ni,O
Al-O-Ti,Al,O,Ti
B-C-Fe,B,C,Fe
B-Cr-Mo,B,Cr,Mo
B-Fe-Nb,B,Fe,Nb
B-Fe-V,B,Fe,V
B-Mo-Ti,B,Mo,Ti
B-Ti-Zr,B,Ti,Zr
Ca-Fe-S,Ca,Fe,S
Ca-Mn-S,Ca,Mn,S
C-Co-Fe,C,Co,Fe
C-Co-W,C,Co,W
Al-Ca-O,Al,Ca,O
Al-Co-Fe,Al,Co,Fe
Al-Cr-Nb,Al,Cr,Nb
Al-Cu-Fe,Al,Cu,Fe
Al-Fe-Mn,Al,Fe,Mn
Al-Fe-O,Al,Fe,O
Al-Fe-Ti,Al,Fe,Ti
Al-Mg-O,Al,Mg,O
Al-Mn-O,Al,Mn,O
Al-Ni-Ti,Al,Ni,Ti
Al-O-Y,Al,O,Y
B-Co-Fe,B,Co,Fe
B-Cr-Ni,B,Cr,Ni
B-Fe-Ni,B,Fe,Ni
B-Fe-W,B,Fe,W
B-Ni-Si,B,Ni,Si
Ca-Cr-O,Ca,Cr,O
Ca-Mg-O,Ca,Mg,O
Ca-Ni-O,Ca,Ni,O
C-Co-Nb,C,Co,Nb
C-Co-Zn,C,Co,Zn
Al-Ca-Si,Al,Ca,Si
Al-Co-Ni,Al,Co,Ni
Al-Cr-Ni,Al,Cr,Ni
Al-Cu-Mn,Al,Cu,Mn
Al-Fe-N,Al,Fe,N
Al-Fe-P,Al,Fe,P
Al-Fe-Zn,Al,Fe,Zn
Al-Mg-Si,Al,Mg,Si
Al-Nb-Ni,Al,Nb,Ni
Al-Ni-Zr,Al,Ni,Zr
Al-Ti-V,Al,Ti,V
B-Cr-Fe,B,Cr,Fe
B-Fe-Mn,B,Fe,Mn
B-Fe-Si,B,Fe,Si
B-Fe-Zr,B,Fe,Zr
B-Ni-Ti,B,Ni,Ti
Ca-Cr-S,Ca,Cr,S
Ca-Mg-S,Ca,Mg,S
Ca-O-Si,Ca,O,Si
C-Co-Ni,C,Co,Ni
C-Cr-Fe,C,Cr,Fe
Al-C-Fe,Al,C,Fe
Al-Co-Zr,Al,Co,Zr
Al-Cr-O,Al,Cr,O
Al-Cu-Ni,Al,Cu,Ni
Al-Fe-Nb,Al,Fe,Nb
Al-Fe-S,Al,Fe,S
Al-Fe-Zr,Al,Fe,Zr
Al-Mg-Zn,Al,Mg,Zn
Al-Nb-Ti,Al,Nb,Ti
Al-O-Si,Al,O,Si
Al-Y-Zn,Al,Y,Zn
B-Cr-Mn,B,Cr,Mn
B-Fe-Mo,B,Fe,Mo
B-Fe-Ti,B,Fe,Ti
B-Mo-Ni,B,Mo,Ni
B-Ni-Zr,B,Ni,Zr
Ca-Fe-O,Ca,Fe,O
Ca-Mn-O,Ca,Mn,O
C-Co-Cr,C,Co,Cr
C-Co-Ti,C,Co,Ti
C-Cr-Mn ,C,Cr,Mn 
C-Cr-Mo,C,Cr,Mo
C-Cr-Si,C,Cr,Si
C-Cr-Zr,C,Cr,Zr
C-Fe-Mn,C,Fe,Mn
C-Fe-Ni,C,Fe,Ni
C-Fe-Si,C,Fe,Si
C-Mn-Si,C,Mn,Si
C-Mo-Ta,C,Mo,Ta
C-Mo-Zr,C,Mo,Zr
C-Ni-W,C,Ni,W
Co-Cr-Fe,Co,Cr,Fe
Co-Fe-Mo,Co,Fe,Mo
Co-Fe-S,Co,Fe,S
Co-Ni-W,Co,Ni,W
Co-Ti-Zr,Co,Ti,Zr
Cr-Cu-Ni,Cr,Cu,Ni
Cr-Fe-Mo,Cr,Fe,Mo
Cr-Fe-O,Cr,Fe,O
Cr-Fe-Si,Cr,Fe,Si
Cr-Fe-Zr,Cr,Fe,Zr
Cr-Mn-Ni,Cr,Mn,Ni
Cr-Mo-N,Cr,Mo,N
Cr-Nb-Si,Cr,Nb,Si
C-Cr-N,C,Cr,N
C-Cr-Ta,C,Cr,Ta
C-Cu-Fe,C,Cu,Fe
C-Fe-Mo,C,Fe,Mo
C-Fe-O,C,Fe,O
C-Fe-Ti,C,Fe,Ti
C-Mn-V,C,Mn,V
C-Mo-Ti,C,Mo,Ti
C-Nb-Ti,C,Nb,Ti
C-N-Nb,C,N,Nb
Co-Cr-Ni,Co,Cr,Ni
Co-Fe-N,Co,Fe,N
Co-Fe-Si,Co,Fe,Si
Co-P-W,Co,P,W
Co-W-Zr,Co,W,Zr
Cr-Cu-W,Cr,Cu,W
Cr-Fe-N,Cr,Fe,N
Cr-Fe-P,Cr,Fe,P
Cr-Fe-V,Cr,Fe,V
Cr-Mg-O,Cr,Mg,O
Cr-Mn-O,Cr,Mn,O
Cr-Mo-Ni,Cr,Mo,Ni
Cr-Ni-O,Cr,Ni,O
C-Cr-Nb,C,Cr,Nb
C-Cr-V,C,Cr,V
Ce-O-S,Ce,O,S
C-Fe-N,C,Fe,N
C-Fe-P,C,Fe,P
C-Fe-V,C,Fe,V
C-Mo-N,C,Mo,N
C-Mo-V,C,Mo,V
C-Nb-V,C,Nb,V
C-N-Ti,C,N,Ti
Co-Cr-W,Co,Cr,W
Co-Fe-Nb,Co,Fe,Nb
Co-Fe-W,Co,Fe,W
Co-Si-Ti,Co,Si,Ti
Cr-Cu-Fe,Cr,Cu,Fe
Cr-Fe-H,Cr,Fe,H
Cr-Fe-Nb,Cr,Fe,Nb
Cr-Fe-Ru,Cr,Fe,Ru
Cr-Fe-W,Cr,Fe,W
Cr-Mn-Mo,Cr,Mn,Mo
Cr-Mn-S,Cr,Mn,S
Cr-Mo-Si,Cr,Mo,Si
Cr-Ni-Ru,Cr,Ni,Ru
C-Cr-Ni,C,Cr,Ni
C-Cr-W,C,Cr,W
C-Fe-H,C,Fe,H
C-Fe-Nb,C,Fe,Nb
C-Fe-S,C,Fe,S
C-Fe-W,C,Fe,W
C-Mo-Nb,C,Mo,Nb
C-Mo-W,C,Mo,W
C-Nb-W,C,Nb,W
C-N-Zr,C,N,Zr
Co-Cu-Fe,Co,Cu,Fe
Co-Fe-P,Co,Fe,P
Co-Nb-Si,Co,Nb,Si
Co-Si-W,Co,Si,W
Cr-Cu-Mo,Cr,Cu,Mo
Cr-Fe-Mn,Cr,Fe,Mn
Cr-Fe-Ni,Cr,Fe,Ni
Cr-Fe-S,Cr,Fe,S
Cr-Fe-Zn,Cr,Fe,Zn
Cr-Mn-N,Cr,Mn,N
Cr-Mn-Si,Cr,Mn,Si
Cr-Nb-Ni,Cr,Nb,Ni
Cr-Ni-Si ,Cr,Ni,Si 
Cr-Ni-W,Cr,Ni,W
Cr-N-Si,Cr,N,Si
Cr-O-Ti,Cr,O,Ti
C-Si-Ti,C,Si,Ti
C-Ti-Zr,C,Ti,Zr
Cu-Fe-Ni,Cu,Fe,Ni
Cu-Fe-W,Cu,Fe,W
Cu-O-Y,Cu,O,Y
Fe-H-Mo,Fe,H,Mo
Fe-H-W,Fe,H,W
Fe-Mn-N,Fe,Mn,N
Fe-Mn-P,Fe,Mn,P
Fe-Mo-N,Fe,Mo,N
Fe-Mo-V,Fe,Mo,V
Fe-Nb-P,Fe,Nb,P
Fe-Nb-Zr,Fe,Nb,Zr
Fe-Ni-Ti,Fe,Ni,Ti
Fe-N-Ti,Fe,N,Ti
Fe-O-Si,Fe,O,Si
Fe-P-V,Fe,P,V
Fe-Si-Zr,Fe,Si,Zr
H-Ni-Ti,H,Ni,Ti
Mg-O-Si,Mg,O,Si
Cr-Ni-Zr,Cr,Ni,Zr
Cr-N-Ti,Cr,N,Ti
Cr-O-Y,Cr,O,Y
C-Ta-W,C,Ta,W
Cu-Fe-Mn,Cu,Fe,Mn
Cu-Fe-P,Cu,Fe,P
Cu-Fe-Zr,Cu,Fe,Zr
C-V-W,C,V,W
Fe-H-Ni,Fe,H,Ni
Fe-Mg-O,Fe,Mg,O
Fe-Mn-Nb,Fe,Mn,Nb
Fe-Mn-S,Fe,Mn,S
Fe-Mo-Ni,Fe,Mo,Ni
Fe-Mo-W,Fe,Mo,W
Fe-Nb-Si,Fe,Nb,Si
Fe-Ni-O,Fe,Ni,O
Fe-Ni-W,Fe,Ni,W
Fe-N-V,Fe,N,V
Fe-O-Y,Fe,O,Y
Fe-P-W,Fe,P,W
Fe-S-Ti,Fe,S,Ti
Mg-Mn-O,Mg,Mn,O
Mn-Mo-Ni,Mn,Mo,Ni
Cr-N-Nb,Cr,N,Nb
Cr-N-V,Cr,N,V
Cr-Si-Ti,Cr,Si,Ti
C-Ti-V,C,Ti,V
Cu-Fe-Mo,Cu,Fe,Mo
Cu-Fe-S,Cu,Fe,S
Cu-Mn-Ni,Cu,Mn,Ni
C-V-Zr,C,V,Zr
Fe-H-Si,Fe,H,Si
Fe-Mg-S,Fe,Mg,S
Fe-Mn-Ni,Fe,Mn,Ni
Fe-Mn-Si,Fe,Mn,Si
Fe-Mo-P,Fe,Mo,P
Fe-Nb-Ni,Fe,Nb,Ni
Fe-Nb-V,Fe,Nb,V
Fe-Ni-P,Fe,Ni,P
Fe-N-Nb,Fe,N,Nb
Fe-N-W,Fe,N,W
Fe-P-Si,Fe,P,Si
Fe-Si-Ti,Fe,Si,Ti
Fe-S-W,Fe,S,W
Mg-Mn-S,Mg,Mn,S
Mn-Mo-Si,Mn,Mo,Si
Cr-N-Ni,Cr,N,Ni
Cr-N-W,Cr,N,W
Cr-Si-W,Cr,Si,W
C-Ti-W,C,Ti,W
Cu-Fe-N,Cu,Fe,N
Cu-Fe-Si,Cu,Fe,Si
Cu-Mn-S,Cu,Mn,S
C-W-Zr,C,W,Zr
Fe-H-V,Fe,H,V
Fe-Mn-Mo,Fe,Mn,Mo
Fe-Mn-O,Fe,Mn,O
Fe-Mn-V,Fe,Mn,V
Fe-Mo-Si,Fe,Mo,Si
Fe-Nb-O,Fe,Nb,O
Fe-Nb-Zn,Fe,Nb,Zn
Fe-Ni-Si,Fe,Ni,Si
Fe-N-Ni,Fe,N,Ni
Fe-O-S,Fe,O,S
Fe-P-Ti,Fe,P,Ti
Fe-Si-W,Fe,Si,W
Fe-Ti-Zr,Fe,Ti,Zr
Mg-Ni-O,Mg,Ni,O
Mn-Ni-O ,Mn,Ni,O 
Mn-Ni-Si,Mn,Ni,Si
Mn-Si-Zn,Mn,Si,Zn
Ni-O-Si,Ni,O,Si
Ni-Si-Ti,Ni,Si,Ti
N-Nb-V,N,Nb,V
Mn-O-S,Mn,O,S
Mo-Ni-Si,Mo,Ni,Si
Ni-O-Ti,Ni,O,Ti
Ni-Si-W,Ni,Si,W
N-Ti-V,N,Ti,V
Mn-O-Si,Mn,O,Si
Mo-N-Ni,Mo,N,Ni
Ni-O-Y,Ni,O,Y
Ni-Si-Zr,Ni,Si,Zr
N-Ti-Zr,N,Ti,Zr
Mn-O-Y,Mn,O,Y
Mo-N-V,Mo,N,V
Ni-P-W,Ni,P,W
N-Nb-Ti,N,Nb,Ti
N-V-W,N,V,W
O-Si-Y,O,Si,Y
O-Y-Zr ,O,Y,Zr 
