,,Second,Third,First
Al-B-Co,,B,Co,Al
Al-B-Mo,,B,Mo,Al
Al-B-Ti,,B,Ti,Al
Al-C-Fe,,C,Fe,Al
Al-C-Si,,C,Si,Al
Al-C-Zr,,C,Zr,Al
Al-Co-Fe,,Co,Fe,Al
Al-Co-Ni,,Co,Ni,Al
Al-Co-Ti,,Co,Ti,Al
Al-Cr-Hf,,Cr,Hf,Al
Al-Cr-O,,Cr,O,Al
Al-Cr-Ti,,Cr,Ti,Al
Al-Cu-Mn,,Cu,Mn,Al
Al-Fe-Mn,,Fe,Mn,Al
Al-Fe-Ni,,Fe,Ni,Al
Al-Fe-S,,Fe,S,Al
Al-Hf-Mo,,Hf,Mo,Al
Al-Hf-Ta,,Hf,Ta,Al
Al-Mn-Ni,,Mn,Ni,Al
Al-Mo-Nb,,Mo,Nb,Al
Al-Mo-Si,,Mo,Si,Al
Al-Mo-Zr,,Mo,Zr,Al
Al-Nb-Si,,Nb,Si,Al
Al-Ni-Pd,,Ni,Pd,Al
Al-Ni-S,,Ni,S,Al
Al-Ni-V,,Ni,V,Al
Al-O-S,,O,S,Al
Al-O-Zr,,O,Zr,Al
Al-Ru-Ti,,Ru,Ti,Al
Al-Ti-W,,Ti,W,Al
B-C-Zr,,C,Zr,B
B-Co-Ni,,Co,Ni,B
B-Co-W,,Co,W,B
B-Cr-Mo,,Cr,Mo,B
B-Fe-Nb,,Fe,Nb,B
B-Hf-Ni,,Hf,Ni,B
B-Mo-Nb,,Mo,Nb,B
B-Nb-Re,,Nb,Re,B
B-Ni-Ti,,Ni,Ti,B
B-Re-Zr,,Re,Zr,B
C-Co-Nb,,Co,Nb,C
C-Co-W,,Co,W,C
C-Cr-Mn,,Cr,Mn,C
C-Cr-Ni,,Cr,Ni,C
C-Cr-Ti,,Cr,Ti,C
C-Cu-Fe,,Cu,Fe,C
C-Fe-Nb,,Fe,Nb,C
C-Fe-Ti,,Fe,Ti,C
C-Hf-Ni,,Hf,Ni,C
C-Hf-W,,Hf,W,C
C-Mo-N,,Mo,N,C
C-Mo-Ti,,Mo,Ti,C
C-N-Nb,,N,Nb,C
C-Nb-Ti,,Nb,Ti,C
C-Ni-Ta,,Ni,Ta,C
C-Re-Ta,,Re,Ta,C
C-Ta-W,,Ta,W,C
C-V-W,,V,W,C
Ca-Cu-O,,Cu,O,Ca
Ca-Mg-S,,Mg,S,Ca
Ca-Ni-O,,Ni,O,Ca
Ca-O-Zr,,O,Zr,Ca
Co-Cr-Mo,,Cr,Mo,Co
Co-Cr-Re,,Cr,Re,Co
Co-Cr-Ti,,Cr,Ti,Co
Co-Cu-Nb,,Cu,Nb,Co
Co-Fe-Mo,,Fe,Mo,Co
Co-Fe-S,,Fe,S,Co
Co-Hf-Si,,Hf,Si,Co
Co-Mn-S,,Mn,S,Co
Co-Mo-Ru,,Mo,Ru,Co
Co-Nb-Ni,,Nb,Ni,Co
Co-Nb-W,,Nb,W,Co
Co-Ni-S,,Ni,S,Co
Co-Ni-Ti,,Ni,Ti,Co
Co-O-Si,,O,Si,Co
Co-Ru-Ta,,Ru,Ta,Co
Co-Si-W,,Si,W,Co
Co-Ti-W,,Ti,W,Co
Cr-Cu-Nb,,Cu,Nb,Cr
Cr-Fe-Mn,,Fe,Mn,Cr
Cr-Fe-Ni,,Fe,Ni,Cr
Cr-Fe-Ta,,Fe,Ta,Cr
Cr-Hf-Si,,Hf,Si,Cr
Cr-Mo-N,,Mo,N,Cr
Cr-Mo-Ru,,Mo,Ru,Cr
Cr-N-V,,N,V,Cr
Cr-Ni-O,,Ni,O,Cr
Cr-Ni-Si,,Ni,Si,Cr
Cr-Ni-Zr,,Ni,Zr,Cr
Cr-O-V,,O,V,Cr
Cr-Re-Ta,,Re,Ta,Cr
Cr-Si-W,,Si,W,Cr
Cu-Fe-Mo,,Fe,Mo,Cu
Cu-Fe-S,,Fe,S,Cu
Cu-Mg-Ni,,Mg,Ni,Cu
Cu-Mn-S,,Mn,S,Cu
Cu-Ni-Si,,Ni,Si,Cu
Cu-S-Si,,S,Si,Cu
Fe-Mg-S,,Mg,S,Fe
Fe-Mn-S,,Mn,S,Fe
Fe-Mo-Ni,,Mo,Ni,Fe
Fe-Mo-Zr,,Mo,Zr,Fe
