systems that have thermodynamic description,,,,,First,Second
 AG-PD,Ag,PD,Ag,,Pd,Ag
 AG-TI, AG,TI,AG,,Ti,Ag
 AL-B, AL,B,AL,,B,Al
 AL-C, AL,C,AL,,C,Al
 AL-CO, AL,CO,AL,,Co,Al
 AL-CR, AL,CR,AL,,Cr,Al
 AL-CU, AL,CU,AL,,Cu,Al
 AL-FE, AL,FE,AL,,Fe,Al
 AL-H, AL,H,AL,,H,Al
 AL-HF, AL,HF,AL,,Hf,Al
 AL-MN, AL,MN,AL,,Mn,Al
 AL-MO, AL,MO,AL,,Mo,Al
 AL-N, AL,N,AL,,N,Al
 AL-NB, AL,NB,AL,,Nb,Al
 AL-NI, AL,NI,AL,,Ni,Al
 AL-O, AL,O,AL,,O,Al
 AL-PD, AL,PD,AL,,Pd,Al
 AL-RE, AL,RE,AL,,Re,Al
 AL-RU, AL,RU,AL,,Ru,Al
 AL-SI, AL,SI,AL,,Si,Al
 AL-SN, AL,SN,AL,,Sn,Al
 AL-TA, AL,TA,AL,,Ta,Al
 AL-TI, AL,TI,AL,,Ti,Al
 AL-V, AL,V,AL,,V,Al
 AL-W, AL,W,AL,,W,Al
 AL-Y, AL,Y,AL,,Y,Al
 AL-ZR, AL,ZR,AL,,Zr,Al
 B-C, B,C,B,,C,B
 B-CO, B,CO,B,,Co,B
 B-CR, B,CR,B,,Cr,B
 B-FE, B,FE,B,,Fe,B
 B-H, B,H,B,,H,B
 B-HF, B,HF,B,,Hf,B
 B-MN, B,MN,B,,Mn,B
 B-MO, B,MO,B,,Mo,B
 B-N, B,N,B,,N,B
 B-NB, B,NB,B,,Nb,B
 B-NI, B,NI,B,,Ni,B
 B-O, B,O,B,,O,B
 B-RE, B,RE,B,,Re,B
 B-RU, B,RU,B,,Ru,B
 B-SI, B,SI,B,,Si,B
 B-SN, B,SN,B,,Sn,B
 B-TA, B,TA,B,,Ta,B
 B-TI, B,TI,B,,Ti,B
 B-V, B,V,B,,V,B
 B-W, B,W,B,,W,B
 B-Y, B,Y,B,,Y,B
 B-ZR, B,ZR,B,,Zr,B
 C-CO, C,CO,C,,Co,C
 C-CR, C,CR,C,,Cr,C
 C-FE, C,FE,C,,Fe,C
 C-H, C,H,C,,H,C
 C-HF, C,HF,C,,Hf,C
 C-MN, C,MN,C,,Mn,C
 C-MO, C,MO,C,,Mo,C
 C-NB, C,NB,C,,Nb,C
 C-NI, C,NI,C,,Ni,C
 C-RE, C,RE,C,,Re,C
 C-RU, C,RU,C,,Ru,C
 C-SI, C,SI,C,,Si,C
 C-TA, C,TA,C,,Ta,C
 C-TI, C,TI,C,,Ti,C
 C-V, C,V,C,,V,C
 C-W, C,W,C,,W,C
 C-Y, C,Y,C,,Y,C
 C-ZR, C,ZR,C,,Zr,C
 CO-CR, CO,CR,CO,,Cr,Co
